"Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SCIE,SSCI Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
7998,JOURNAL OF MARINE SCIENCE AND TECHNOLOGY,"1,331",1.446,0.001300
8003,Korean Journal for Food Science of Animal Resources,"1,084",1.445,0.001860
8003,READING AND WRITING,"3,156",1.445,0.003800
8005,Journal of Aging & Social Policy,556,1.444,0.000670
8005,TRANSACTIONS OF THE AMERICAN FISHERIES SOCIETY,"7,495",1.444,0.003620
8007,FAMILY MEDICINE,"2,765",1.443,0.002170
8007,Food Science and Technology,"1,444",1.443,0.002240
8009,AMERICAN POLITICS RESEARCH,"1,086",1.442,0.002160
8009,COGNITIVE LINGUISTICS,"1,159",1.442,0.000900
8009,JOURNAL OF FOURIER ANALYSIS AND APPLICATIONS,"1,741",1.442,0.003900
8009,JOURNAL OF GENERAL AND APPLIED MICROBIOLOGY,"1,544",1.442,0.001000
8009,JOURNAL OF VECTOR ECOLOGY,"1,357",1.442,0.001460
8009,Journal of Housing and the Built Environment,917,1.442,0.001080
8009,Journal of Pediatric Oncology Nursing,"1,119",1.442,0.001190
8009,Journal of Pediatric Oncology Nursing,"1,119",1.442,0.001190
8017,JOURNAL OF FORENSIC SCIENCES,"8,497",1.441,0.006070
8017,Journal of Transcultural Nursing,"1,266",1.441,0.001580
8017,Journal of Transcultural Nursing,"1,266",1.441,0.001580
8017,Leadership,887,1.441,0.000850
8017,Methods in Cell Biology,"3,288",1.441,0.005050
8017,TOHOKU JOURNAL OF EXPERIMENTAL MEDICINE,"2,971",1.441,0.002870
8023,CANADIAN JOURNAL OF EXPERIMENTAL PSYCHOLOGY-REVUE CANADIENNE DE PSYCHOLOGIE EXPERIMENTALE,"1,030",1.440,0.001050
8023,Information Development,673,1.440,0.000680
8023,JOURNAL OF CONTINUING EDUCATION IN THE HEALTH PROFESSIONS,"1,303",1.440,0.001460
8026,INTERNATIONAL JOURNAL OF SOCIAL PSYCHIATRY,"2,223",1.439,0.003010
8026,Japanese Journal of Radiology,"1,101",1.439,0.001860
8026,Journal of Hospitality Leisure Sport & Tourism Education,429,1.439,0.000150
8026,SCANDINAVIAN JOURNAL OF ECONOMICS,"1,946",1.439,0.003230
8030,Carpathian Journal of Mathematics,389,1.438,0.000640
8030,Cliometrica,185,1.438,0.000550
8030,Demographic Research,"2,549",1.438,0.004800
8030,Environmental Engineering Research,720,1.438,0.000770
8030,JOURNAL OF NEUROGENETICS,631,1.438,0.001050
8035,FOUNDATIONS OF PHYSICS,"2,142",1.437,0.001750
8035,SOLID-STATE ELECTRONICS,"6,592",1.437,0.003700
8035,World Journal of Pediatrics,993,1.437,0.001700
8038,AURIS NASUS LARYNX,"2,394",1.436,0.003280
8038,Journal of Language Identity and Education,550,1.436,0.000640
8038,NATURAL RESOURCES FORUM,986,1.436,0.000540
8038,NATURAL RESOURCES FORUM,986,1.436,0.000540
8038,SYNTHESE,"4,640",1.436,0.004350
8038,SYNTHESE,"4,640",1.436,0.004350
8044,BRITISH JOURNAL OF SOCIAL WORK,"3,646",1.435,0.003400
8044,Clinics,"3,646",1.435,0.002920
8044,PHYSICAL GEOGRAPHY,"1,127",1.435,0.000670
8047,JOURNAL OF CLINICAL NEUROPHYSIOLOGY,"3,015",1.434,0.002810
8047,JOURNAL OF ENGINEERING MATHEMATICS,"1,928",1.434,0.001690
8047,Tobacco Induced Diseases,619,1.434,0.001640
8047,Tobacco Induced Diseases,619,1.434,0.001640
8051,CYBERNETICS AND SYSTEMS,737,1.433,0.000430
8051,JOURNAL OF EVOLUTIONARY ECONOMICS,"1,539",1.433,0.001080
8051,RESEARCH IN NONDESTRUCTIVE EVALUATION,408,1.433,0.000340
8051,STATISTICAL PAPERS,"1,221",1.433,0.002600
8055,Algorithms for Molecular Biology,783,1.432,0.001350
8055,BULLETIN OF MARINE SCIENCE,"4,980",1.432,0.001590
8055,JOURNAL OF ECONOMICS & MANAGEMENT STRATEGY,"1,803",1.432,0.003320
8055,JOURNAL OF SPORTS MEDICINE AND PHYSICAL FITNESS,"3,418",1.432,0.004090
8055,SOIL SCIENCE AND PLANT NUTRITION,"3,365",1.432,0.001930
8055,THEORY INTO PRACTICE,"3,115",1.432,0.001120
8061,Developing World Bioethics,382,1.431,0.000690
8061,Developing World Bioethics,382,1.431,0.000690
8061,INTERNATIONAL JOURNAL OF ENVIRONMENTAL ANALYTICAL CHEMISTRY,"2,079",1.431,0.001330
8061,JOURNAL OF AUTOMATED REASONING,625,1.431,0.000830
8061,JOURNAL OF COMPUTING AND INFORMATION SCIENCE IN ENGINEERING,796,1.431,0.000700
8061,Korean Journal of Pain,502,1.431,0.000870
8061,LAW & SOCIETY REVIEW,"2,644",1.431,0.001830
8061,OPTIMIZATION METHODS & SOFTWARE,"1,976",1.431,0.003010
8061,SCHOOL PSYCHOLOGY INTERNATIONAL,"1,325",1.431,0.001040
8070,ASTROPHYSICS AND SPACE SCIENCE,"7,751",1.430,0.009930
8070,Journal of Emergency Nursing,"1,468",1.430,0.001370
8070,Journal of Emergency Nursing,"1,468",1.430,0.001370
8073,AQUATIC ECOLOGY,"1,805",1.429,0.001500
8073,BIOMEDICAL RESEARCH-TOKYO,765,1.429,0.000860
8073,ENVIRONMENT AND DEVELOPMENT ECONOMICS,"1,550",1.429,0.001310
8073,European Political Science,465,1.429,0.000880
8073,GEO-MARINE LETTERS,"1,764",1.429,0.001210
8073,MEDICAL HISTORY,788,1.429,0.000980
8073,MEDICAL HISTORY,788,1.429,0.000980
8080,International Journal of Sensor Networks,539,1.428,0.000480
8080,ZEITSCHRIFT FUR ANGEWANDTE MATHEMATIK UND PHYSIK,"3,506",1.428,0.006640
8082,Evolutionary Psychology,976,1.427,0.001670
8083,AMERICAN JOURNAL OF MEDICAL QUALITY,"1,337",1.426,0.002920
8083,ATMOSPHERE-OCEAN,"1,408",1.426,0.001010
8083,ECONOMIC DEVELOPMENT QUARTERLY,988,1.426,0.000650
8083,WATER AND ENVIRONMENT JOURNAL,962,1.426,0.000940
8083,WILDERNESS & ENVIRONMENTAL MEDICINE,"1,262",1.426,0.001640
8088,JOURNAL OF NURSING CARE QUALITY,"1,108",1.425,0.001310
8088,JOURNAL OF NURSING CARE QUALITY,"1,108",1.425,0.001310
8088,Journal of Bioethical Inquiry,594,1.425,0.001230
8088,Journal of Bioethical Inquiry,594,1.425,0.001230
8088,Journal of Immigrant and Minority Health,"3,013",1.425,0.006560
8088,PEDIATRIC TRANSPLANTATION,"3,229",1.425,0.004460
8088,REVIEW OF PALAEOBOTANY AND PALYNOLOGY,"5,153",1.425,0.003490
8095,JOURNAL OF NUTRITIONAL SCIENCE AND VITAMINOLOGY,"2,105",1.424,0.001310
8095,Journal of Oral Implantology,"1,798",1.424,0.002100
8095,Nondestructive Testing and Evaluation,489,1.424,0.000560
8098,AUSTRALASIAN PLANT PATHOLOGY,"1,862",1.423,0.001360
8098,INTERNATIONAL REVIEW OF HYDROBIOLOGY,"1,148",1.423,0.000710
8098,International Journal of the Commons,721,1.423,0.001460
8098,Journal of Earth System Science,"2,401",1.423,0.002890
8102,Advances in High Energy Physics,"1,542",1.422,0.003950
8102,PSYCHIATRIC QUARTERLY,"1,288",1.422,0.001900
8104,Cambridge Journal of Education,"1,282",1.421,0.001100
8104,Contemporary Politics,432,1.421,0.000980
8104,INTERNATIONAL JOURNAL OF COMPARATIVE SOCIOLOGY,690,1.421,0.000800
8104,JOURNAL OF MARITAL AND FAMILY THERAPY,"2,028",1.421,0.001110
8104,OXFORD REVIEW OF EDUCATION,"1,683",1.421,0.001700
8109,ACM Transactions on Asian and Low-Resource Language Information Processing,129,1.420,0.000130
8109,ACTA BIOCHIMICA POLONICA,"2,832",1.420,0.002230
8109,Journal of the American Association of Nurse Practitioners,698,1.420,0.001910
8109,Journal of the American Association of Nurse Practitioners,698,1.420,0.001910
8109,PalZ,149,1.420,0.000490
8114,ACTA CHROMATOGRAPHICA,495,1.418,0.000480
8114,INSECTES SOCIAUX,"2,489",1.418,0.001910
8114,INSTRUMENTATION SCIENCE & TECHNOLOGY,545,1.418,0.000650
8114,JOURNAL OF GEOGRAPHY IN HIGHER EDUCATION,950,1.418,0.000450
8114,Journal of Obsessive-Compulsive and Related Disorders,730,1.418,0.001700
8114,Journal of Obsessive-Compulsive and Related Disorders,730,1.418,0.001700
8114,RESOURCE GEOLOGY,"1,008",1.418,0.000650
8121,ANTARCTIC SCIENCE,"2,058",1.417,0.001740
8121,China Information,260,1.417,0.000720
8121,JOURNAL OF THE RENIN-ANGIOTENSIN-ALDOSTERONE SYSTEM,918,1.417,0.001160
8121,Journal of Transport and Land Use,730,1.417,0.001350
8121,METAPHOR AND SYMBOL,555,1.417,0.000410
8121,Revista Internacional de Medicina y Ciencias de la Actividad Fisica y del Deporte,594,1.417,0.000300
8121,SPEECH COMMUNICATION,"3,170",1.417,0.002540
8128,ADVANCES IN STRUCTURAL ENGINEERING,"2,401",1.416,0.003390
8128,BIOMETRICAL JOURNAL,"3,131",1.416,0.003880
8128,CHEMICAL & PHARMACEUTICAL BULLETIN,"12,025",1.416,0.002980
8128,MYCOBIOLOGY,"1,085",1.416,0.001100
8132,CARBONATES AND EVAPORITES,725,1.415,0.000650
8132,Central European Journal of Immunology,661,1.415,0.001420
8132,Educational Philosophy and Theory,"1,401",1.415,0.001730
8132,JOURNAL OF CARDIOVASCULAR SURGERY,"1,825",1.415,0.002120
8132,Journal of Nanophotonics,"1,034",1.415,0.001480
8132,PREPARATIVE BIOCHEMISTRY & BIOTECHNOLOGY,"1,052",1.415,0.001320
8138,BRITISH JOURNAL OF DEVELOPMENTAL PSYCHOLOGY,"2,345",1.414,0.001980
8138,BULLETIN OF INDONESIAN ECONOMIC STUDIES,326,1.414,0.001040
8138,Journal of Comparative Policy Analysis,703,1.414,0.001070
8138,STOCHASTIC PROCESSES AND THEIR APPLICATIONS,"5,273",1.414,0.012200
8142,BMC Ophthalmology,"2,641",1.413,0.007010
8142,Cost Effectiveness and Resource Allocation,620,1.413,0.001100
8144,APPLIED PSYCHOLINGUISTICS,"2,575",1.412,0.002520
8144,Annals of Dermatology,"1,722",1.412,0.002790
8144,JOURNAL OF CLINICAL PSYCHOLOGY IN MEDICAL SETTINGS,"1,053",1.412,0.001070
8144,REVISTA CHILENA DE HISTORIA NATURAL,"1,370",1.412,0.000390
8148,EXPLORATIONS IN ECONOMIC HISTORY,"1,002",1.411,0.002290
8148,Romanian Journal of Morphology and Embryology,"2,149",1.411,0.002330
8150,AMERICAN JOURNAL OF EVALUATION,"1,693",1.410,0.001210
8150,JOURNAL OF COORDINATION CHEMISTRY,"4,148",1.410,0.003030
8150,JOURNAL OF LASER APPLICATIONS,"1,758",1.410,0.002080
8150,Physiology International,137,1.410,0.000280
8154,BioResources,"9,143",1.409,0.008970
8154,JOURNAL OF IRRIGATION AND DRAINAGE ENGINEERING,"3,870",1.409,0.002180
8154,ORTHOPEDICS,"5,433",1.409,0.007430
8157,AMPHIBIA-REPTILIA,"1,514",1.408,0.001210
8157,Cadernos de Saude Publica,"6,091",1.408,0.005750
8157,Cadernos de Saude Publica,"6,091",1.408,0.005750
8157,EURASIP Journal on Wireless Communications and Networking,"3,383",1.408,0.004390
8157,Zeitschrift fur Kristallographie-Crystalline Materials,"5,229",1.408,0.003290
8162,Archives of Disease in Childhood-Education and Practice Edition,568,1.407,0.001340
8162,IEEE TRANSACTIONS ON DEVICE AND MATERIALS RELIABILITY,"1,791",1.407,0.002600
8162,INDIAN JOURNAL OF PHYSICS,"1,672",1.407,0.002030
8162,Revista Brasileira de Farmacognosia-Brazilian Journal of Pharmacognosy,"2,492",1.407,0.002150
8166,FEMINIST ECONOMICS,"1,400",1.406,0.001690
8166,INTERNATIONAL JOURNAL OF STD & AIDS,"2,958",1.406,0.005750
8166,INVERTEBRATE BIOLOGY,791,1.406,0.000760
8166,International Relations of the Asia-Pacific,308,1.406,0.000430
8166,JOURNAL OF CHEMICAL SCIENCES,"2,442",1.406,0.002560
8166,JOURNAL OF ENHANCED HEAT TRANSFER,515,1.406,0.000140
8166,JOURNAL OF PSYCHOPHYSIOLOGY,800,1.406,0.000490
8166,JOURNAL OF PSYCHOPHYSIOLOGY,800,1.406,0.000490
8166,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales Serie A-Matematicas,876,1.406,0.002130
8175,Advances in Neonatal Care,"1,052",1.405,0.001430
8175,Advances in Neonatal Care,"1,052",1.405,0.001430
8175,Brazilian Journal of Otorhinolaryngology,"1,733",1.405,0.002050
8175,ISIJ INTERNATIONAL,"12,817",1.405,0.006910
8175,JOURNAL OF FOOD PROCESSING AND PRESERVATION,"4,106",1.405,0.005830
8175,Journal of Spatial Science,356,1.405,0.000580
8175,MICROELECTRONICS JOURNAL,"3,202",1.405,0.002590
8182,CRITICAL REVIEWS IN IMMUNOLOGY,"1,235",1.404,0.001090
8182,Journal of Eye Movement Research,350,1.404,0.000610
8182,Journal of Laparoendoscopic & Advanced Surgical Techniques,"3,088",1.404,0.005310
8182,KINDHEIT UND ENTWICKLUNG,348,1.404,0.000290
8182,PHYTOCOENOLOGIA,581,1.404,0.000410
8187,Diversity-Basel,"1,104",1.402,0.001480
8187,MOLECULAR BIOLOGY REPORTS,"8,120",1.402,0.006600
8187,REVIEW OF INCOME AND WEALTH,"1,566",1.402,0.003320
8190,AUSTRALIAN DENTAL JOURNAL,"2,804",1.401,0.002310
8191,Australian Social Work,829,1.400,0.000740
8191,Building Services Engineering Research & Technology,764,1.400,0.000660
8191,CANADIAN JOURNAL OF ELECTRICAL AND COMPUTER ENGINEERING-REVUE CANADIENNE DE GENIE ELECTRIQUE ET INFORMATIQUE,341,1.400,0.000500
8191,CHEMISTRY AND ECOLOGY,"1,275",1.400,0.000980
8191,Geofizika,212,1.400,0.000160
8191,JOURNAL OF EDUCATIONAL RESEARCH,"2,956",1.400,0.001890
8191,JOURNAL OF ETHOLOGY,824,1.400,0.000740
8191,Media and Communication,425,1.400,0.000890
8191,NEW ZEALAND JOURNAL OF MARINE AND FRESHWATER RESEARCH,"1,993",1.400,0.000880
8191,Qualitative Theory of Dynamical Systems,293,1.400,0.000830
8191,Sociological Methodology,"3,180",1.400,0.000870
8202,ANIMAL SCIENCE JOURNAL,"2,384",1.399,0.003830
8202,JETP LETTERS,"8,026",1.399,0.006870
8202,JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY,"5,983",1.399,0.004350
8205,REVUE D EPIDEMIOLOGIE ET DE SANTE PUBLIQUE,808,1.398,0.001020
8206,European Journal on Criminal Policy and Research,508,1.397,0.000760
8206,Journal of Neurological Surgery Part B-Skull Base,896,1.397,0.002140
8206,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART J-JOURNAL OF ENGINEERING TRIBOLOGY,"2,500",1.397,0.002280
8209,EXPERIMENTAL AGRICULTURE,"1,457",1.396,0.001080
8209,Medical Dosimetry,784,1.396,0.000930
8209,Statistical Analysis and Data Mining,478,1.396,0.001150
8212,Acta Geophysica,"1,313",1.395,0.001820
8212,CIRCUIT WORLD,316,1.395,0.000140
8212,Oil & Gas Science and Technology-Revue d IFP Energies nouvelles,"2,040",1.395,0.001140
8212,PFG-Journal of Photogrammetry Remote Sensing and Geoinformation Science,61,1.395,0.000150
8216,International Journal of Humanoid Robotics,571,1.394,0.000520
8216,Interpretation-A Journal of Subsurface Characterization,"1,096",1.394,0.004230
8216,Methods in Enzymology,"24,519",1.394,0.015280
8216,Microscopy,504,1.394,0.001990
8216,NEUROREPORT,"12,762",1.394,0.005100
8221,ECHOCARDIOGRAPHY-A JOURNAL OF CARDIOVASCULAR ULTRASOUND AND ALLIED TECHNIQUES,"3,173",1.393,0.005790
8221,EPISODES,"2,306",1.393,0.000890
8221,European Journal of Taxonomy,600,1.393,0.002220
8221,International Journal for Academic Development,610,1.393,0.000590
8221,JOURNAL OF FELINE MEDICINE AND SURGERY,"2,673",1.393,0.003110
8226,BULLETIN OF MATERIALS SCIENCE,"4,829",1.392,0.002820
8226,JOURNAL OF OBSTETRICS AND GYNAECOLOGY RESEARCH,"4,142",1.392,0.007400
8226,MATHEMATICAL MEDICINE AND BIOLOGY-A JOURNAL OF THE IMA,501,1.392,0.000630
8226,SIAM JOURNAL ON MATHEMATICAL ANALYSIS,"6,327",1.392,0.015250
8230,ADVANCES IN NURSING SCIENCE,"1,420",1.391,0.000740
8230,ADVANCES IN NURSING SCIENCE,"1,420",1.391,0.000740
8230,MODERN PHYSICS LETTERS A,"4,335",1.391,0.005150
8230,PETROLOGY,977,1.391,0.000840
8234,ACTA HISTOCHEMICA ET CYTOCHEMICA,399,1.390,0.000300
8234,DISCOURSE & SOCIETY,"2,132",1.390,0.001390
8234,KOREA-AUSTRALIA RHEOLOGY JOURNAL,559,1.390,0.000550
8234,Stochastics and Partial Differential Equations-Analysis and Computations,266,1.390,0.002050
8238,European Journal of Education,"1,080",1.389,0.001110
8238,INFANT MENTAL HEALTH JOURNAL,"1,962",1.389,0.001900
8238,MATERIALS AT HIGH TEMPERATURES,"1,089",1.389,0.001230
8238,Polar Science,608,1.389,0.001200
8242,Games and Culture,700,1.388,0.000940
8242,INTERNATIONAL JOURNAL OF IMPOTENCE RESEARCH,"2,196",1.388,0.000960
8242,International Journal of Green Energy,"1,592",1.388,0.001670
8242,JOURNAL OF OPTIMIZATION THEORY AND APPLICATIONS,"6,583",1.388,0.010380
8242,PRESSE MEDICALE,"2,193",1.388,0.002440
8242,South American Journal of Herpetology,407,1.388,0.000680
8248,AUSTRALIAN JOURNAL OF AGRICULTURAL AND RESOURCE ECONOMICS,"1,016",1.386,0.000930
8248,AUSTRALIAN JOURNAL OF AGRICULTURAL AND RESOURCE ECONOMICS,"1,016",1.386,0.000930
8248,AUSTRALIAN JOURNAL OF BOTANY,"3,474",1.386,0.001530
8248,HEC Forum,330,1.386,0.000450
8248,International Journal of Forest Engineering,400,1.386,0.000430
8248,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART C-JOURNAL OF MECHANICAL ENGINEERING SCIENCE,"5,048",1.386,0.004950
8254,Bulletin of the Polish Academy of Sciences-Technical Sciences,"1,343",1.385,0.001000
8254,Cutaneous and Ocular Toxicology,764,1.385,0.001140
8254,JOURNAL OF CHEMICAL EDUCATION,"11,622",1.385,0.004840
8257,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART D-JOURNAL OF AUTOMOBILE ENGINEERING,"2,940",1.384,0.002270
8258,Anthropological Theory,800,1.383,0.000960
8258,GEOGRAFISKA ANNALER SERIES B-HUMAN GEOGRAPHY,"1,077",1.383,0.000700
8258,Journal of Cardiopulmonary Rehabilitation and Prevention,"1,706",1.383,0.001840
8258,Language Policy,507,1.383,0.000630
8258,POLISH JOURNAL OF ENVIRONMENTAL STUDIES,"4,745",1.383,0.003270
8263,Animal Frontiers,567,1.382,0.001110
8263,ENERGY EXPLORATION & EXPLOITATION,855,1.382,0.001040
8263,SURGICAL LAPAROSCOPY ENDOSCOPY & PERCUTANEOUS TECHNIQUES,"2,527",1.382,0.003140
8266,BOTANICA MARINA,"2,297",1.381,0.001030
8266,EUROPEAN JOURNAL OF WILDLIFE RESEARCH,"1,912",1.381,0.002750
8266,JOURNAL OF COUNSELING AND DEVELOPMENT,"2,601",1.381,0.001430
8266,JOURNAL OF URBAN PLANNING AND DEVELOPMENT,"1,240",1.381,0.001350
8266,JOURNAL OF URBAN PLANNING AND DEVELOPMENT,"1,240",1.381,0.001350
8271,ACM Transactions on Modeling and Computer Simulation,714,1.380,0.000850
8271,ACTA PSYCHOLOGICA,"6,151",1.380,0.007050
8271,Discourse Context & Media,378,1.380,0.001200
8271,International Journal of Lower Extremity Wounds,843,1.380,0.000900
8271,Journal of Managerial Psychology,"3,506",1.380,0.002200
8271,Traffic Injury Prevention,"2,498",1.380,0.004700
8271,Traffic Injury Prevention,"2,498",1.380,0.004700
8278,ACTA PHYSICO-CHIMICA SINICA,"2,659",1.379,0.002580
8278,Inra Productions Animales,291,1.379,0.000230
8278,International Journal of Unconventional Computing,166,1.379,0.000210
8278,PROBLEMS OF POST-COMMUNISM,441,1.379,0.001220
8282,ACM Transactions on Applied Perception,486,1.378,0.000570
8282,ANNALS OF NUCLEAR ENERGY,"7,164",1.378,0.014920
8282,Genetic Testing and Molecular Biomarkers,"1,575",1.378,0.002230
8282,International Journal of Precision Engineering and Manufacturing,"3,588",1.378,0.004000
8282,Urology Journal,954,1.378,0.001390
8287,PETROLEUM GEOSCIENCE,"1,309",1.377,0.001030
8287,PUBLIC MONEY & MANAGEMENT,"1,416",1.377,0.001230
8287,STROJNISKI VESTNIK-JOURNAL OF MECHANICAL ENGINEERING,973,1.377,0.001010
8290,JAPANESE JOURNAL OF APPLIED PHYSICS,"16,570",1.376,0.020270
8290,Journal of Korean Neurosurgical Society,"2,119",1.376,0.002830
8292,ACTA PHARMACEUTICA,"1,277",1.375,0.000690
8292,ACTA ZOOLOGICA,"1,257",1.375,0.000940
8292,Clinical Gerontologist,918,1.375,0.000890
8292,Clinical Gerontologist,918,1.375,0.000890
8292,Dendrobiology,344,1.375,0.000490
8292,INTERNATIONAL JOURNAL OF PATTERN RECOGNITION AND ARTIFICIAL INTELLIGENCE,"1,785",1.375,0.001540
8292,INTERNATIONAL JOURNAL OF UNCERTAINTY FUZZINESS AND KNOWLEDGE-BASED SYSTEMS,"1,774",1.375,0.000780
8292,JOURNAL OF POLITICAL IDEOLOGIES,546,1.375,0.000820
8292,JOURNAL OF PRODUCTIVITY ANALYSIS,"2,432",1.375,0.001800
8292,Journal of Real Estate Research,882,1.375,0.000380
8292,MEDICAL HYPOTHESES,"6,794",1.375,0.005290
8292,Politics,593,1.375,0.001140
8292,Qualitative Social Work,"1,046",1.375,0.001000
8292,SYMBOLIC INTERACTION,"1,391",1.375,0.000810
8306,ARCHIVE OF APPLIED MECHANICS,"2,862",1.374,0.002980
8306,CLINICAL AND APPLIED THROMBOSIS-HEMOSTASIS,"1,945",1.374,0.003400
8306,JOURNAL OF COASTAL CONSERVATION,"1,187",1.374,0.001220
8306,Journal of Veterinary Cardiology,891,1.374,0.001250
8306,PHARMACEUTICAL STATISTICS,"1,189",1.374,0.002620
8311,DRUGS OF TODAY,896,1.373,0.000850
8311,Inverse Problems and Imaging,917,1.373,0.002740
8311,JOURNAL OF CUTANEOUS PATHOLOGY,"3,634",1.373,0.003500
8311,JOURNAL OF ELECTROMAGNETIC WAVES AND APPLICATIONS,"2,051",1.373,0.002520
8311,Journal of Economics,"1,121",1.373,0.000850
8311,NUMERICAL LINEAR ALGEBRA WITH APPLICATIONS,"1,534",1.373,0.003270
8311,Translational Neuroscience,412,1.373,0.000740
8318,CUAJ-Canadian Urological Association Journal,"1,923",1.372,0.003800
8318,SILVA FENNICA,"2,094",1.372,0.001200
8320,Australian Accounting Review,762,1.371,0.000310
8320,LETTERS IN MATHEMATICAL PHYSICS,"2,420",1.371,0.005450
8322,ANNALI DELL ISTITUTO SUPERIORE DI SANITA,"1,030",1.370,0.001120
8322,AUSTRALIAN FORESTRY,585,1.370,0.000340
8322,GEOLOGICA ACTA,737,1.370,0.000590
8322,Studies in Conflict & Terrorism,"1,261",1.370,0.001940
8326,CANADIAN JOURNAL OF OPHTHALMOLOGY-JOURNAL CANADIEN D OPHTALMOLOGIE,"2,218",1.369,0.002600
8326,WATER ENVIRONMENT RESEARCH,"3,120",1.369,0.001540
8328,ANNALS OF HUMAN GENETICS,"1,776",1.368,0.001270
8328,DISEASES OF AQUATIC ORGANISMS,"5,862",1.368,0.003270
8328,International Journal of Qualitative Studies on Health and Well-Being,"1,169",1.368,0.002040
8328,Journal of Child Health Care,838,1.368,0.001210
8328,Journal of Child Health Care,838,1.368,0.001210
8328,Physical Mesomechanics,566,1.368,0.000660
8328,Revista de Contabilidad-Spanish Accounting Review,276,1.368,0.000150
8328,VETERINARY ANAESTHESIA AND ANALGESIA,"1,971",1.368,0.002570
8336,Annals of Surgical Treatment and Research,773,1.367,0.002260
8336,BULLETIN OF THE ATOMIC SCIENTISTS,597,1.367,0.001180
8336,INTERNATIONAL JOURNAL OF HEALTH PLANNING AND MANAGEMENT,"1,063",1.367,0.001730
8336,SCHOOL EFFECTIVENESS AND SCHOOL IMPROVEMENT,"1,187",1.367,0.001270
8340,Cambridge Review of International Affairs,697,1.366,0.000940
8340,EUROPEAN PHYSICAL JOURNAL D,"4,784",1.366,0.006900
8340,Journal of Industrial and Management Optimization,893,1.366,0.001950
8340,PROCEEDINGS OF THE LONDON MATHEMATICAL SOCIETY,"4,859",1.366,0.009340
8340,TRANSITION METAL CHEMISTRY,"2,269",1.366,0.000840
8340,ZOOLOGISCHER ANZEIGER,"2,085",1.366,0.002070
8346,Current Analytical Chemistry,721,1.365,0.000690
8346,Health Economics Policy and Law,553,1.365,0.001060
8346,JOURNAL OF ADHESION SCIENCE AND TECHNOLOGY,"4,248",1.365,0.002880
8346,SUPRAMOLECULAR CHEMISTRY,"1,936",1.365,0.001400
8350,AMEGHINIANA,"1,654",1.364,0.001140
8350,Exceptionality,451,1.364,0.000490
8350,Knowledge and Management of Aquatic Ecosystems,722,1.364,0.000940
8350,LINGUISTIC INQUIRY,"3,017",1.364,0.001190
8354,AQUACULTURE INTERNATIONAL,"2,738",1.363,0.002810
8354,International Journal of Inclusive Education,"1,599",1.363,0.001770
8354,JOURNAL OF CIRCUITS SYSTEMS AND COMPUTERS,"1,435",1.363,0.001570
8354,Nursing Open,232,1.363,0.000520
8354,Nursing Open,232,1.363,0.000520
8354,PROSTHETICS AND ORTHOTICS INTERNATIONAL,"1,655",1.363,0.001900
8354,TRANSACTIONS OF THE AMERICAN MATHEMATICAL SOCIETY,"16,293",1.363,0.030260
8361,POLITICAL RESEARCH QUARTERLY,"3,460",1.362,0.005890
